stockID:ID,stock_name,:LABEL
601001,大同煤业,COMPANY
002331,皖通科技,COMPANY
002752,昇兴股份,COMPANY
002408,齐翔腾达,COMPANY
002438,江苏神通,COMPANY
600836,界龙实业,COMPANY
603766,隆鑫通用,COMPANY
000861,海印股份,COMPANY
000599,青岛双星,COMPANY
000016,深康佳Ａ,COMPANY
002421,达实智能,COMPANY
900901,云赛Ｂ股,COMPANY
600425,*ST青松,COMPANY;ST
000666,经纬纺机,COMPANY
002477,雏鹰农牧,COMPANY
600209,罗顿发展,COMPANY
002340,格林美,COMPANY
600619,海立股份,COMPANY
000876,新 希 望,COMPANY
002397,梦洁股份,COMPANY
002450,康得新,COMPANY
600283,钱江水利,COMPANY
600200,江苏吴中,COMPANY
002021,中捷资源,COMPANY
000517,荣安地产,COMPANY
300423,鲁亿通,COMPANY
300494,盛天网络,COMPANY
300260,新莱应材,COMPANY
002647,民盛金科,COMPANY
002455,百川股份,COMPANY
600301,ST南化,COMPANY;ST
300198,纳川股份,COMPANY
600658,电子城,COMPANY
000514,渝 开 发,COMPANY
600309,万华化学,COMPANY
603737,三棵树,COMPANY
601169,北京银行,COMPANY
002302,西部建设,COMPANY
002412,汉森制药,COMPANY
600123,兰花科创,COMPANY
601668,中国建筑,COMPANY
603123,翠微股份,COMPANY
002832,比音勒芬,COMPANY
002127,南极电商,COMPANY
002112,三变科技,COMPANY
300061,康旗股份,COMPANY
002687,乔治白,COMPANY
002357,富临运业,COMPANY
600535,天士力,COMPANY
600661,新南洋,COMPANY
200012,南 玻Ｂ,COMPANY
300457,赢合科技,COMPANY
603939,益丰药房,COMPANY
300402,宝色股份,COMPANY
300314,戴维医疗,COMPANY
300398,飞凯材料,COMPANY
300417,南华仪器,COMPANY
000633,合金投资,COMPANY
600600,青岛啤酒,COMPANY
601229,上海银行,COMPANY
601225,陕西煤业,COMPANY
600630,龙头股份,COMPANY
900947,振华Ｂ股,COMPANY
300074,华平股份,COMPANY
000890,法 尔 胜,COMPANY
002820,桂发祥,COMPANY
002023,海特高新,COMPANY
300126,锐奇股份,COMPANY
002276,万马股份,COMPANY
300526,中潜股份,COMPANY
600768,宁波富邦,COMPANY
600858,银座股份,COMPANY
000920,南方汇通,COMPANY
002557,洽洽食品,COMPANY
002020,京新药业,COMPANY
000587,金洲慈航,COMPANY
300076,GQY视讯,COMPANY
603600,永艺股份,COMPANY
002608,江苏国信,COMPANY
601918,新集能源,COMPANY
600615,丰华股份,COMPANY
600745,闻泰科技,COMPANY
600689,上海三毛,COMPANY
300451,创业软件,COMPANY
603300,华铁科技,COMPANY
600881,亚泰集团,COMPANY
002458,益生股份,COMPANY
300386,飞天诚信,COMPANY
603885,吉祥航空,COMPANY
600793,宜宾纸业,COMPANY
300458,全志科技,COMPANY
300509,新美星,COMPANY
600067,冠城大通,COMPANY
000155,川化股份,COMPANY
000832,*ST龙涤,COMPANY;ST
600555,海航创新,COMPANY
300050,世纪鼎利,COMPANY
600558,大西洋,COMPANY
600900,长江电力,COMPANY
600410,华胜天成,COMPANY
600466,蓝光发展,COMPANY
000150,宜华健康,COMPANY
002528,英飞拓,COMPANY
300312,邦讯技术,COMPANY
600525,长园集团,COMPANY
300014,亿纬锂能,COMPANY
600132,重庆啤酒,COMPANY
000594,国恒退,COMPANY
002674,兴业科技,COMPANY
601088,中国神华,COMPANY
000009,中国宝安,COMPANY
300420,五洋科技,COMPANY
600814,杭州解百,COMPANY
603618,杭电股份,COMPANY
002644,佛慈制药,COMPANY
600089,特变电工,COMPANY
600265,ST景谷,COMPANY;ST
000667,美好置业,COMPANY
002415,海康威视,COMPANY
002113,天润数娱,COMPANY
002638,勤上股份,COMPANY
002499,科林环保,COMPANY
002182,云海金属,COMPANY
002256,兆新股份,COMPANY
601908,京运通,COMPANY
601579,会稽山,COMPANY
000882,华联股份,COMPANY
300350,华鹏飞,COMPANY
002354,天神娱乐,COMPANY
300213,佳讯飞鸿,COMPANY
002278,神开股份,COMPANY
002316,键桥通讯,COMPANY
002610,爱康科技,COMPANY
000732,泰禾集团,COMPANY
000962,东方钽业,COMPANY
600305,恒顺醋业,COMPANY
002039,黔源电力,COMPANY
002191,劲嘉股份,COMPANY
300537,广信材料,COMPANY
002663,普邦股份,COMPANY
002483,润邦股份,COMPANY
600549,厦门钨业,COMPANY
300202,聚龙股份,COMPANY
002611,东方精工,COMPANY
300548,博创科技,COMPANY
601168,西部矿业,COMPANY
002821,凯莱英,COMPANY
002271,东方雨虹,COMPANY
300022,吉峰农机,COMPANY
000582,北部湾港,COMPANY
300308,中际旭创,COMPANY
600292,远达环保,COMPANY
603698,航天工程,COMPANY
601126,四方股份,COMPANY
600246,万通地产,COMPANY
300414,中光防雷,COMPANY
600333,长春燃气,COMPANY
600573,惠泉啤酒,COMPANY
000689,ST宏业,COMPANY;ST
600493,凤竹纺织,COMPANY
002403,爱仕达,COMPANY
603990,麦迪科技,COMPANY
002428,云南锗业,COMPANY
601789,宁波建工,COMPANY
600583,海油工程,COMPANY
000008,神州高铁,COMPANY
300114,中航电测,COMPANY
002138,顺络电子,COMPANY
002189,利达光电,COMPANY
002788,鹭燕医药,COMPANY
000726,鲁 泰Ａ,COMPANY
900951,*ST大化B,COMPANY;ST
002460,赣锋锂业,COMPANY
000860,顺鑫农业,COMPANY
002131,利欧股份,COMPANY
000796,凯撒旅游,COMPANY
601003,柳钢股份,COMPANY
600502,安徽水利,COMPANY
600382,广东明珠,COMPANY
600075,新疆天业,COMPANY
300041,回天新材,COMPANY
600778,友好集团,COMPANY
300491,通合科技,COMPANY
600684,珠江实业,COMPANY
300360,炬华科技,COMPANY
002819,东方中科,COMPANY
